Qmin	Rr
3965.463155	0.108973974
4009.348808	0.109029029
3924.216804	0.109084084
4011.555796	0.109139139
3926.37693	0.109194194
3843.006698	0.109249249
3928.538244	0.109304304
3845.122121	0.109359359
3805.127484	0.109414414
3847.238708	0.109469469
3807.222056	0.109524525
3767.621633	0.10957958
3809.317781	0.109634635
3689.652202	0.10968969
3651.27467	0.109744745
3730.485464	0.1097998
3653.284551	0.109854855
3615.285293	0.10990991
3655.29554	0.109964965
3617.275364	0.11002002
3542.41729	0.110075075
3619.266531	0.11013013
3581.621108	0.110185185
3544.36725	0.11024024
3472.928637	0.110295295
3546.318283	0.11035035
3438.697157	0.110405405
3474.840346	0.11046046
3404.803085	0.110515516
3404.803085	0.110570571
3371.243096	0.110625626
3371.243096	0.110680681
3338.013896	0.110735736
3373.098831	0.110790791
3373.098831	0.110845846
3339.85134	0.110900901
3339.85134	0.110955956
3306.931558	0.111011011
3274.336255	0.111066066
3242.062233	0.111121121
3210.106325	0.111176176
3276.138647	0.111231231
3243.846859	0.111286286
3211.873361	0.111341341
3180.215014	0.111396396
3148.868713	0.111451451
3181.965596	0.111506507
3119.547625	0.111561562
3150.602041	0.111616617
3150.602041	0.111671672
3090.499563	0.111726727
3090.499563	0.111781782
3090.499563	0.111836837
3061.721986	0.111891892
3061.721986	0.111946947
3061.721986	0.112002002
3003.315029	0.112057057
3033.212375	0.112112112
2975.349282	0.112167167
3004.968235	0.112222222
3004.968235	0.112277277
3004.968235	0.112332332
2976.987094	0.112387387
2976.987094	0.112442442
2949.266502	0.112497497
2949.266502	0.112552553
2921.804035	0.112607608
2894.597288	0.112662663
2867.643879	0.112717718
2867.643879	0.112772773
2867.643879	0.112827828
2842.505277	0.112882883
2842.505277	0.112937938
2816.03693	0.112992993
2842.505277	0.113048048
2842.505277	0.113103103
2816.03693	0.113158158
2791.350729	0.113213213
2765.358714	0.113268268
2791.350729	0.113323323
2791.350729	0.113378378
2741.116773	0.113433433
2741.116773	0.113488488
2741.116773	0.113543544
2741.116773	0.113598599
2717.087344	0.113653654
2717.087344	0.113708709
2717.087344	0.113763764
2717.087344	0.113818819
2693.268564	0.113873874
2693.268564	0.113928929
2693.268564	0.113983984
2669.658586	0.114039039
2669.658586	0.114094094
2646.25558	0.114149149
2646.25558	0.114204204
2646.25558	0.114259259
2600.063243	0.114314314
2623.057732	0.114369369
2577.27033	0.114424424
2577.27033	0.114479479
2600.063243	0.114534535
2600.063243	0.11458959
2577.27033	0.114644645
2577.27033	0.1146997
2533.676102	0.114754755
2533.676102	0.11480981
2533.676102	0.114864865
2533.676102	0.11491992
2533.676102	0.114974975
2533.676102	0.11503003
2490.819265	0.115085085
2490.819265	0.11514014
2490.819265	0.115195195
2490.819265	0.11525025
2490.819265	0.115305305
2490.819265	0.11536036
2448.687346	0.115415415
2448.687346	0.11547047
2448.687346	0.115525526
2428.557528	0.115580581
2428.557528	0.115635636
2428.557528	0.115690691
2408.59319	0.115745746
2408.59319	0.115800801
2408.59319	0.115855856
2408.59319	0.115910911
2408.59319	0.115965966
2408.59319	0.116021021
2388.792971	0.116076076
2388.792971	0.116131131
2388.792971	0.116186186
2369.155524	0.116241241
2369.155524	0.116296296
2369.155524	0.116351351
2349.679509	0.116406406
2349.679509	0.116461461
2349.679509	0.116516517
2349.679509	0.116571572
2312.478708	0.116626627
2312.478708	0.116681682
2312.478708	0.116736737
2312.478708	0.116791792
2312.478708	0.116846847
2312.478708	0.116901902
2293.468614	0.116956957
2275.866881	0.117012012
2275.866881	0.117067067
2275.866881	0.117122122
2275.866881	0.117177177
2275.866881	0.117232232
2275.866881	0.117287287
2239.834703	0.117342342
2239.834703	0.117397397
2239.834703	0.117452452
2239.834703	0.117507508
2239.834703	0.117562563
2239.834703	0.117617618
2222.644595	0.117672673
2205.586416	0.117727728
2205.586416	0.117782783
2205.586416	0.117837838
2205.586416	0.117892893
2188.659154	0.117947948
2188.659154	0.118003003
2188.659154	0.118058058
2171.861804	0.118113113
2171.861804	0.118168168
2171.861804	0.118223223
2171.861804	0.118278278
2155.193369	0.118333333
2155.193369	0.118388388
2155.193369	0.118443443
2155.193369	0.118498498
2155.193369	0.118553554
2138.65286	0.118608609
2138.65286	0.118663664
2138.65286	0.118718719
2138.65286	0.118773774
2138.65286	0.118828829
2122.239294	0.118883884
2107.110941	0.118938939
2107.110941	0.118993994
2122.239294	0.119049049
2107.110941	0.119104104
2107.110941	0.119159159
2090.939451	0.119214214
2090.939451	0.119269269
2090.939451	0.119324324
2090.939451	0.119379379
2076.034218	0.119434434
2076.034218	0.119489489
2061.235237	0.119544545
2061.235237	0.1195996
2061.235237	0.119654655
2061.235237	0.11970971
2046.541751	0.119764765
2060.101233	0.11981982
2060.101233	0.119874875
2045.41583	0.11992993
2045.41583	0.119984985
2045.41583	0.12004004
2045.41583	0.120095095
2030.835112	0.12015015
2030.835112	0.120205205
2030.835112	0.12026026
2016.358333	0.120315315
2016.358333	0.12037037
2016.358333	0.120425425
2016.358333	0.12048048
2001.98475	0.120535536
2001.98475	0.120590591
2001.98475	0.120645646
2001.98475	0.120700701
2001.98475	0.120755756
1987.71363	0.120810811
1974.630599	0.120865866
1987.71363	0.120920921
1987.71363	0.120975976
1973.544241	0.121031031
1960.554472	0.121086086
1960.554472	0.121141141
1960.554472	0.121196196
1960.554472	0.121251251
1960.554472	0.121306306
